iter	RMSE
0	56391.34901
1	53131.33235
2	50487.25209
3	48055.24936
4	45723.34876
5	43729.56914
6	41911.42587
7	40287.37634
8	38438.8203
9	37022.02613
10	35667.16146
11	34636.10595
12	33637.59552
13	32617.6245
14	31633.1945
15	30828.79038
16	30113.307
17	29384.87806
18	28661.80022
19	28044.42247
20	27363.75041
21	26867.99396
22	26360.41196
23	25808.12989
24	25359.83986
25	24972.5542
26	24454.24043
27	24137.9582
28	23788.50613
29	23465.52577
30	23134.28538
31	22860.93605
32	22605.1556
33	22321.30574
34	22084.90202
35	21847.1797
36	21624.42183
37	21405.16706
38	21188.5696
39	21017.80698
40	20843.42477
41	20727.97594
42	20523.59994
43	20375.91571
44	20202.90131
45	20074.94225
46	19951.2658
47	19871.5926
48	19750.15365
49	19659.85716
50	19518.52612
51	19411.50807
52	19279.54796
53	19215.83222
54	19101.77661
55	19005.74037
56	18893.66271
57	18832.38121
58	18743.48121
59	18619.57496
60	18559.39378
61	18470.37432
62	18414.49808
63	18349.94401
64	18310.67577
65	18238.13303
66	18152.89051
67	18076.70783
68	17991.8485
69	17945.91138
70	17870.06084
71	17821.7535
72	17752.08647
73	17679.66075
74	17615.78009
75	17569.02286
76	17518.02856
77	17465.71337
78	17405.54804
79	17350.86318
80	17289.53916
81	17246.59643
82	17189.98059
83	17147.14075
84	17109.67797
85	17057.03555
86	16996.10445
87	16945.85301
88	16884.45189
89	16846.38546
90	16810.97309
91	16759.81163
92	16730.45253
93	16662.2466
94	16576.60989
95	16523.11276
96	16495.6124
97	16445.52446
98	16403.96763
99	16373.65217
100	16319.80099
101	16273.94426
102	16240.7457
103	16213.21186
104	16199.70987
105	16183.44188
106	16154.28708
107	16124.86661
108	16055.67038
109	16022.25226
110	15996.34036
111	15964.04867
112	15886.76973
113	15876.61517
114	15830.12179
115	15796.67892
116	15784.15898
117	15730.71454
118	15694.1684
119	15682.40956
120	15654.26615
121	15604.0763
122	15578.73742
123	15538.81529
124	15528.48848
125	15484.70931
126	15475.43096
127	15453.49614
128	15407.50349
129	15350.45678
130	15312.02556
131	15301.3477
132	15264.2036
133	15240.29339
134	15228.22168
135	15177.78308
136	15131.7272
137	15087.65166
138	15058.31738
139	15046.9846
140	15004.93391
141	14982.47729
142	14947.28204
143	14938.77389
144	14890.55603
145	14867.17947
146	14834.31246
147	14827.51646
148	14820.38005
149	14785.89344
150	14763.65701
151	14742.86134
152	14721.94247
153	14694.5122
154	14688.94848
155	14652.33342
156	14619.01579
157	14601.56486
158	14586.95814
159	14582.07325
160	14548.2315
161	14522.1008
162	14479.75379
163	14474.96947
164	14455.38038
165	14426.15617
166	14407.1154
167	14366.08026
168	14340.04769
169	14312.94677
170	14290.49749
171	14265.25774
172	14260.69776
173	14230.70841
174	14213.53473
175	14185.8984
176	14173.24956
177	14144.72733
178	14112.29339
179	14094.29158
180	14089.45519
181	14069.54054
182	14063.98092
183	14041.17929
184	14020.30352
185	13998.93487
186	13987.19895
187	13977.9995
188	13939.57954
189	13909.4235
190	13872.8008
191	13838.98775
192	13818.64168
193	13780.23744
194	13763.54158
195	13743.20745
196	13724.52821
197	13713.36483
198	13703.35791
199	13671.78853
200	13632.73776
201	13600.56419
202	13573.0228
203	13562.85818
204	13540.88118
205	13519.02944
206	13515.10481
207	13489.11083
208	13463.25005
209	13433.94232
210	13401.64975
211	13376.82086
212	13345.91167
213	13329.27968
214	13294.92581
215	13275.25839
216	13263.76824
217	13250.99116
218	13247.45446
219	13237.46759
