iter	Passed	Remaining
0	56	11173
1	57	5643
2	57	3797
3	58	2877
4	59	2320
5	60	1951
6	61	1686
7	61	1485
8	62	1331
9	64	1217
10	64	1114
11	65	1027
12	66	956
13	67	894
14	68	840
15	68	792
16	69	749
17	70	712
18	71	685
19	72	654
20	73	627
21	74	605
22	75	581
23	76	560
24	77	539
25	77	521
26	78	503
27	79	488
28	80	473
29	81	459
30	82	447
31	82	435
32	83	423
33	84	411
34	85	401
35	85	391
36	86	382
37	87	373
38	89	367
39	90	362
40	91	353
41	91	345
42	92	338
43	93	330
44	93	323
45	94	316
46	95	310
47	96	305
48	97	299
49	97	293
50	98	287
51	99	282
52	100	277
53	100	272
54	101	267
55	102	263
56	103	258
57	103	254
58	104	250
59	105	246
60	106	241
61	106	237
62	107	234
63	109	231
64	109	227
65	110	224
66	111	220
67	111	217
68	112	214
69	113	210
70	114	207
71	114	204
72	115	201
73	116	198
74	117	195
75	117	192
76	118	189
77	119	186
78	120	183
79	120	181
80	121	178
81	122	175
82	122	173
83	123	170
84	124	168
85	125	165
86	125	163
87	126	161
88	127	158
89	127	156
90	128	154
91	129	151
92	129	149
93	130	147
94	131	145
95	132	143
96	132	141
97	133	139
98	134	137
99	135	135
100	135	133
101	136	131
102	137	129
103	138	127
104	138	125
105	139	123
106	140	122
107	141	120
108	141	118
109	142	116
110	143	115
111	144	113
112	145	111
113	146	110
114	146	108
115	147	106
116	148	105
117	149	103
118	150	102
119	150	100
120	151	99
121	152	97
122	153	95
123	154	94
124	154	92
125	155	91
126	156	89
127	157	88
128	158	87
129	158	85
130	159	84
131	160	82
132	161	81
133	161	79
134	163	78
135	164	77
136	164	75
137	165	74
138	166	72
139	166	71
140	167	70
141	169	69
142	169	67
143	170	66
144	171	64
145	172	63
146	172	62
147	173	60
148	174	59
149	175	58
150	175	57
151	176	55
152	177	54
153	177	53
154	178	51
155	179	50
156	180	49
157	180	48
158	181	46
159	182	45
160	183	44
161	183	43
162	184	41
163	185	40
164	186	39
165	187	38
166	188	37
167	188	35
168	189	34
169	190	33
170	191	32
171	191	31
172	192	30
173	193	28
174	193	27
175	194	26
176	195	25
177	196	24
178	196	23
179	197	21
180	198	20
181	199	19
182	199	18
183	200	17
184	201	16
185	202	15
186	203	14
187	203	13
188	204	11
189	205	10
190	206	9
191	206	8
192	207	7
193	208	6
194	209	5
195	209	4
196	210	3
197	211	2
198	212	1
199	212	0
