Id,YearBuilt,YearRemodAdd,MasVnrArea,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,SalePrice,OverallQual,ExterQual,BsmtQual,KitchenQual,MSZoning_RM,Neighborhood_NoRidge,Neighborhood_NridgHt,Exterior1st_VinylSd,Exterior2nd_VinylSd,MasVnrType_BrkFace,MasVnrType_Stone,Foundation_CBlock,Foundation_PConc,GarageType_Detchd,SaleType_New,SaleCondition_Partial
1,2003,2003,196.0,856.0,856,1710,2,8,0,2003.0,2.0,548.0,208500.0,6.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2,1976,1976,0.0,1262.0,1262,1262,2,6,1,1976.0,2.0,460.0,181500.0,5.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3,2001,2002,162.0,920.0,920,1786,2,6,1,2001.0,2.0,608.0,223500.0,6.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
4,1915,1970,0.0,756.0,961,1717,1,7,1,1998.0,3.0,642.0,140000.0,6.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
5,2000,2000,350.0,1145.0,1145,2198,2,9,1,2000.0,3.0,836.0,250000.0,7.0,3.0,4.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
6,1993,1995,0.0,796.0,796,1362,1,5,0,1993.0,2.0,480.0,143000.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2004,2005,186.0,1686.0,1694,1694,2,7,1,2004.0,2.0,636.0,307000.0,7.0,3.0,5.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
8,1973,1973,240.0,1107.0,1107,2090,2,7,2,1973.0,2.0,484.0,200000.0,6.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
9,1931,1950,0.0,952.0,1022,1774,2,8,2,1931.0,2.0,468.0,129900.0,6.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
10,1939,1950,0.0,991.0,1077,1077,1,5,2,1939.0,1.0,205.0,118000.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1965,1965,0.0,1040.0,1040,1040,1,5,0,1965.0,1.0,384.0,129500.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
12,2005,2006,286.0,1175.0,1182,2324,3,11,2,2005.0,3.0,736.0,345000.0,8.0,4.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
13,1962,1962,0.0,912.0,912,912,1,4,0,1962.0,1.0,352.0,144000.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
14,2006,2007,306.0,1494.0,1494,1494,2,7,1,2006.0,3.0,840.0,279500.0,6.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
15,1960,1960,212.0,1253.0,1253,1253,1,5,1,1960.0,1.0,352.0,157000.0,5.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
16,1929,2001,0.0,832.0,854,854,1,5,0,1991.0,2.0,576.0,132000.0,6.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
17,1970,1970,180.0,1004.0,1004,1004,1,5,1,1970.0,2.0,480.0,149000.0,5.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
18,1967,1967,0.0,0.0,1296,1296,2,6,0,1967.0,2.0,516.0,90000.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2004,2004,0.0,1114.0,1114,1114,1,6,0,2004.0,2.0,576.0,159000.0,4.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
